,aircraft.damage,make,model,number.of.engines,total.fatal.injuries,total.serious.injuries,total.minor.injuries,total.uninjured,total.passengers
27018,Substantial,beech,Be23,1,0,0,0,2,2
27019,Substantial,beech,Be36,1,0,0,0,2,2
27020,Substantial,beech,Be95,2,0,0,0,1,1
27021,Substantial,beech,Be35,1,0,0,0,3,3
27022,Destroyed,beech,Be35,1,0,2,1,0,3
27023,Substantial,beech,Be35,1,0,0,0,2,2
27024,Substantial,beech,Be23,1,0,0,0,4,4
27025,Destroyed,beech,Be23,1,0,0,0,2,2
27026,Substantial,beech,Be23,1,0,0,0,1,1
27027,Substantial,beech,Be35,1,2,0,0,0,2
27028,Destroyed,beech,Be95,2,3,0,0,0,3
27029,Substantial,beech,Be35,1,0,0,0,2,2
27030,Destroyed,beech,Be58,2,4,0,0,0,4
27031,Substantial,beech,Be23,1,0,0,3,3,6
27032,Substantial,beech,Be58,2,0,0,0,4,4
27033,Substantial,beech,Be58,2,0,0,0,2,2
27034,Substantial,beech,Be23,1,0,0,0,2,2
27035,Destroyed,beech,Be23,1,3,0,0,0,3
27036,Substantial,beech,Be23,1,0,0,1,2,3
27037,Destroyed,beech,Be35,1,2,1,0,0,3
27038,Substantial,beech,Be23,1,0,0,0,1,1
27039,Destroyed,beech,Be95,2,1,0,0,0,1
27040,Destroyed,beech,Be95,2,5,0,0,0,5
27041,Substantial,beech,Be23,1,0,0,0,2,2
27042,Substantial,beech,Be35,1,0,0,1,0,1
27043,Substantial,beech,Be35,1,0,0,0,3,3
27044,Substantial,beech,Be23,1,0,0,0,2,2
27045,Substantial,beech,Be23,1,0,1,1,0,2
27046,Destroyed,beech,Be35,1,0,0,2,0,2
27047,Substantial,beech,Be35,1,0,0,2,0,2
27048,Destroyed,beech,Be36,1,3,0,0,0,3
27049,Substantial,beech,Be95,2,0,0,0,1,1
27050,Substantial,beech,Be36,1,0,0,0,5,5
27051,Substantial,beech,Be23,1,0,0,0,1,1
27052,Substantial,beech,Be58,2,0,0,0,4,4
27053,Destroyed,beech,Be35,1,3,0,0,0,3
27054,Destroyed,beech,Be35,1,2,0,0,0,2
27055,Substantial,beech,Be35,1,0,0,0,2,2
27056,Destroyed,beech,Be95,2,2,0,0,0,2
27057,Destroyed,beech,Be35,1,0,2,0,0,2
27058,Minor,beech,Be58,2,0,0,0,4,4
27059,Substantial,beech,Be95,2,0,0,0,2,2
27060,Destroyed,beech,Be58,2,1,0,0,0,1
27061,Destroyed,beech,Be35,1,2,0,0,0,2
27062,Substantial,beech,Be36,1,0,0,0,6,6
27063,Destroyed,beech,Be23,1,1,1,0,0,2
27064,Substantial,beech,Be58,2,0,0,1,2,3
27065,Substantial,beech,Be58,2,0,0,0,6,6
27066,Substantial,beech,Be35,1,0,0,0,4,4
27067,Substantial,beech,Be36,1,0,0,0,1,1
27068,Destroyed,beech,Be23,1,3,0,0,0,3
27069,Substantial,beech,Be35,1,0,0,0,2,2
27070,Destroyed,beech,Be58,2,2,0,0,0,2
27071,Substantial,beech,Be36,1,0,0,0,2,2
27072,Substantial,beech,Be35,1,0,0,0,1,1
27073,Substantial,beech,Be35,1,0,0,0,1,1
27074,Substantial,beech,Be23,1,0,0,0,1,1
27075,Destroyed,beech,Be58,2,2,0,0,0,2
27076,Substantial,beech,Be23,1,0,0,0,1,1
27077,Destroyed,beech,Be35,1,2,0,0,0,2
27078,Destroyed,beech,Be23,1,2,0,0,0,2
27079,Destroyed,beech,Be36,1,0,0,1,0,1
27080,Substantial,beech,Be35,1,0,0,0,1,1
27081,Destroyed,beech,Be36,1,2,0,0,0,2
27082,Destroyed,beech,Be35,1,1,0,0,0,1
27083,Substantial,beech,Be23,1,0,0,0,1,1
27084,Substantial,beech,Be23,1,0,0,0,1,1
27085,Substantial,beech,Be36,1,0,0,0,2,2
27086,Destroyed,beech,Be35,1,1,2,0,0,3
27087,Substantial,beech,Be23,1,0,0,1,1,2
27088,Substantial,beech,Be23,1,0,0,0,2,2
27089,Substantial,beech,Be23,1,4,0,0,0,4
27090,Destroyed,beech,Be95,2,3,0,0,0,3
27091,Substantial,beech,Be36,1,0,0,0,5,5
27092,Destroyed,beech,Be36,1,4,0,0,0,4
27093,Substantial,beech,Be35,1,0,0,0,1,1
27094,Minor,beech,Be58,2,0,0,0,1,1
27095,Substantial,beech,Be23,1,0,0,2,2,4
27096,Destroyed,beech,Be23,1,2,0,0,0,2
27097,Substantial,beech,Be35,1,0,0,0,1,1
27098,Substantial,beech,Be35,1,0,0,0,1,1
27099,Substantial,beech,Be35,1,0,0,0,1,1
27100,Substantial,beech,Be95,2,0,0,0,4,4
27101,Substantial,beech,Be35,1,0,0,0,1,1
27102,Substantial,beech,Be23,1,0,0,0,1,1
27103,Substantial,beech,Be58,2,0,0,0,3,3
27104,Destroyed,beech,Be35,1,2,0,0,0,2
27105,Destroyed,beech,Be23,1,0,2,3,0,5
27106,Destroyed,beech,Be35,1,4,0,0,0,4
27107,Substantial,beech,Be35,1,0,1,1,0,2
27108,Substantial,beech,Be23,1,0,0,0,1,1
27109,Substantial,beech,Be23,1,1,1,0,0,2
27110,Substantial,beech,Be35,1,0,0,0,2,2
27111,Substantial,beech,Be23,1,0,0,0,4,4
27112,Substantial,beech,Be36,1,0,0,0,2,2
27113,Destroyed,beech,Be58,2,0,0,5,0,5
27114,Substantial,beech,Be35,1,0,0,0,2,2
27115,Substantial,beech,Be35,1,0,0,0,2,2
27116,Substantial,beech,Be35,1,0,0,0,1,1
27117,Substantial,beech,Be35,1,0,0,0,4,4
27118,Substantial,beech,Be36,1,0,0,1,1,2
27119,Substantial,beech,Be36,1,0,0,0,1,1
27120,Destroyed,beech,Be35,1,1,0,0,0,1
27121,Substantial,beech,Be23,1,0,0,2,0,2
27122,Destroyed,beech,Be95,2,2,0,0,0,2
27123,Substantial,beech,Be35,1,0,0,1,0,1
27124,Substantial,beech,Be35,1,0,0,0,4,4
27125,Substantial,beech,Be36,1,0,0,0,3,3
27126,Destroyed,beech,Be23,1,1,0,0,0,1
27127,Substantial,beech,Be23,1,0,0,0,1,1
27128,Substantial,beech,Be23,1,0,0,3,0,3
27129,Destroyed,beech,Be36,1,0,4,2,0,6
27130,Minor,beech,Be23,1,0,0,0,2,2
27131,Destroyed,beech,Be35,1,4,0,0,0,4
27132,Substantial,beech,Be23,1,0,0,0,2,2
27133,Destroyed,beech,Be23,1,1,0,0,0,1
27134,Substantial,beech,Be23,1,0,0,0,1,1
27135,Substantial,beech,Be35,1,0,0,2,0,2
27136,Destroyed,beech,Be35,1,0,1,0,0,1
27137,Destroyed,beech,Be23,1,1,4,0,0,5
27138,Substantial,beech,Be35,1,0,1,1,1,3
27139,Substantial,beech,Be58,2,0,0,1,0,1
27140,Substantial,beech,Be35,1,0,0,0,2,2
27141,Substantial,beech,Be23,1,0,0,0,2,2
27142,Substantial,beech,Be35,1,0,0,0,3,3
27143,Minor,beech,Be58,2,0,0,0,4,4
27144,Destroyed,beech,Be35,1,0,0,0,4,4
27145,Substantial,beech,Be36,1,0,3,0,2,5
27146,Substantial,beech,Be35,1,0,0,1,0,1
27147,Substantial,beech,Be35,1,0,0,0,1,1
27148,Destroyed,beech,Be95,2,1,0,0,0,1
